,Administrative and Law Enforcement,Buffer Zone / Right-of-Way,Commercial,Commercial - Residential,Commercial Residential,Commercial Services,Commercial-Residential,Centralized Commercial,Cultural,Cultural and Sports,Educational,Educational - High School,Educational - Middle School,Educational - Primary School,Existing Garden/Orchard,Green Space,Health and Medical Services,Higher Education,Industrial,Mixed-Use,Permanent Fairground/Exhibition,Religious,Residential,River,Sports,Tourism and Hospitality,Transportation and Parking,Urban Reserve (Land),Urban Utilities and Infrastructure,Workshop and Warehouse
Administrative and Law Enforcement,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,4,3,3,3,3,3,4,3,4,2,2
Buffer Zone / Right-of-Way,4,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,2,3,2,2,2,4,3,3,3,4,3,2
Commercial,4,3,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,5,2,5,4,4,4,3,4,5,5,3,2,2
Commercial - Residential,4,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,1,5,4,4,5,4,4,5,4,3,2,1
Commercial Residential,4,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,1,5,4,4,5,4,4,5,4,3,2,1
Commercial Services,4,3,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,5,2,5,4,4,4,3,4,5,5,3,2,2
Commercial-Residential,4,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,1,5,4,4,5,4,4,5,4,3,2,1
Centralized Commercial,4,3,5,5,5,5,5,5,5,4,4,4,4,4,2,3,4,5,2,5,4,3,3,3,4,5,5,3,2,2
Cultural,4,3,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,2,5,5,4,4,4,5,5,4,3,2,2
Cultural and Sports,4,3,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4,2,5,4,3,4,4,5,4,4,3,2,2
Educational,4,3,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,1,4,3,4,5,4,5,4,2,3,1,1
Educational - High School,4,3,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,1,4,3,4,5,4,5,4,2,3,1,1
Educational - Middle School,4,3,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,1,4,3,4,5,4,5,4,2,3,1,1
Educational - Primary School,4,3,4,4,4,4,4,4,4,4,5,5,5,5,4,5,4,5,1,4,3,4,5,4,5,4,2,3,1,1
Existing Garden/Orchard,3,4,3,4,4,3,4,2,4,4,4,4,4,4,5,5,3,4,1,4,2,3,5,5,5,3,2,4,1,1
Green Space,3,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,4,5,1,5,3,4,5,5,5,4,2,4,1,1
Health and Medical Services,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,2,4,3,4,3,3,3,4,3,4,2,2
Higher Education,4,3,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,1,5,4,4,4,4,4,5,4,3,1,1
Industrial,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,5,2,3,1,1,2,2,2,4,3,4,5
Mixed-Use,4,3,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,5,2,5,4,4,5,4,5,5,4,3,2,2
Permanent Fairground/Exhibition,3,2,4,4,4,4,4,4,5,4,3,3,3,3,2,3,3,4,3,4,5,2,3,3,4,4,4,3,3,3
Religious,3,2,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,1,4,2,5,4,4,3,4,2,3,1,1
Residential,3,2,4,5,5,4,5,3,4,4,5,5,5,5,5,5,3,4,1,5,3,4,5,4,5,4,2,3,1,1
River,3,4,3,4,4,3,4,3,4,4,4,4,4,4,5,5,3,4,2,4,3,4,4,5,4,3,3,4,2,2
Sports,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,4,2,5,4,3,5,4,5,4,3,3,2,2
Tourism and Hospitality,4,3,5,5,5,5,5,5,5,4,4,4,4,4,3,4,4,5,2,5,4,4,4,3,5,5,4,3,2,2
Transportation and Parking,3,3,5,4,4,5,4,5,4,4,2,2,2,2,2,2,3,4,4,3,4,4,2,2,3,4,5,3,3,4
Urban Reserve (Land),4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,5,3,3
Urban Utilities and Infrastructure,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,4,2,3,1,1,2,2,2,3,3,5,4
Workshop and Warehouse,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,5,2,3,1,1,2,2,2,4,3,4,5